f3,f4,f6,f9,f10,f15,f16,f17,f18,f19,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,duration_min,hour,day_of_week,season,f1_Source1,f1_Source2,f1_Source3,f12_US/Central,f12_US/Eastern,f12_US/Mountain,f12_US/Pacific,y
0.84,0.84,-0.33,178,2620,-0.35,-1.07,0.34,3422,-0.29,3144,-0.02,-0.36,-0.07,3.53,-0.05,-0.01,-0.16,-0.03,-0.42,-0.03,1.65,0.22,-1.45,-1.12,1.15,-0.11,-0.52,1.08,-0.24,-0.61,3
-0.53,0.6,-0.33,71,1476,-0.26,-0.59,0.34,2907,0.06,9013,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,2.4,-0.03,-0.01,-0.33,-0.56,-1.12,1.15,-0.11,-0.52,1.08,-0.24,-0.61,2
0.75,1.04,-0.32,332,2620,0.14,-0.13,0.34,1548,1.85,3473,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,-0.42,-0.03,-0.93,0.78,-1.45,-1.12,1.15,-0.11,-0.52,1.08,-0.24,-0.61,2
0.6,-1.52,-0.14,77,15346,-1.14,-2.69,0.34,8869,-1.32,23036,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,-0.42,-0.03,-1.85,-0.33,-1.45,0.9,-0.87,-0.11,-0.52,-0.93,-0.24,1.65,2
-0.26,0.71,-0.33,470,3372,0.31,-0.81,0.34,2516,-0.8,23036,-0.02,-0.36,-0.07,-0.28,19.17,-0.01,-0.16,-0.03,2.4,-0.03,1.65,0.78,-0.56,-1.12,1.15,-0.11,-0.52,1.08,-0.24,-0.61,2
-0.69,0.8,-0.33,55,3372,-0.08,0.74,0.34,2743,0.06,23036,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,-0.42,-0.02,0.91,-0.33,0.33,-1.12,1.15,-0.11,-0.52,1.08,-0.24,-0.61,2
-0.42,-1.35,-0.32,4635,15346,-0.44,0.52,0.34,999,-0.72,7266,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,-0.42,-0.03,0.54,-0.33,-1.45,-1.12,1.15,-0.11,-0.52,-0.93,-0.24,1.65,3
-0.47,-1.33,-0.33,2186,15346,0.14,0.16,0.34,3749,-0.11,9013,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,-0.42,-0.03,1.1,1.33,0.33,0.9,-0.87,-0.11,-0.52,-0.93,-0.24,1.65,2
0.74,1.13,-0.33,98,1220,0.84,0.55,0.34,3162,0.26,6441,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,2.4,-0.03,-0.93,0.78,-1.45,-1.12,1.15,-0.11,-0.52,1.08,-0.24,-0.61,2
1.42,1.22,-0.33,336,3053,1.19,-0.01,0.34,2364,-0.8,23036,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,2.4,-0.03,-1.11,-0.33,0.33,-1.12,1.15,-0.11,-0.52,1.08,-0.24,-0.61,2
-0.42,-1.33,-0.33,4635,15346,0.18,0.44,0.34,1548,0.08,7266,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,-0.42,-0.02,1.46,1.33,-0.56,-1.12,1.15,-0.11,-0.52,-0.93,-0.24,1.65,3
0.53,-0.58,-0.33,230,762,-2.37,0.26,0.34,3175,-0.72,6441,-0.02,2.79,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,2.4,-0.03,-0.38,-0.33,-0.56,-1.12,1.15,-0.11,-0.52,-0.93,4.19,-0.61,2
2.27,-1.59,-0.24,499,960,1.55,0.47,-2.65,8869,-1.32,909,-0.02,2.79,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,2.4,-0.03,-1.11,-0.88,1.22,0.9,-0.87,-0.11,-0.52,-0.93,-0.24,1.65,2
0.57,0.01,0.54,332,621,-1.14,-0.07,0.34,3415,0.23,23036,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,-0.42,-0.03,-0.19,1.33,0.33,0.9,-0.87,-0.11,1.92,-0.93,-0.24,-0.61,2
-0.47,0.59,-0.33,487,1476,0.8,-0.78,0.34,3282,0.92,9013,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,-0.42,-0.03,-0.74,0.78,1.22,-1.12,1.15,-0.11,-0.52,1.08,-0.24,-0.61,2
-0.73,0.05,-0.19,165,1371,-0.88,0.78,0.34,2743,0.23,23036,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,-0.42,-0.03,-0.38,1.33,-1.45,0.9,-0.87,-0.11,1.92,-0.93,-0.24,-0.61,2
-0.44,0.6,-0.05,88,1476,-1.62,0.98,0.0,3333,0.0,7266,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,-0.42,-0.01,0.36,-0.88,1.22,0.9,-0.87,-0.11,-0.52,1.08,-0.24,-0.61,3
1.23,0.38,-0.33,459,1460,0.71,0.57,0.34,2907,-0.72,7266,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,-0.42,-0.03,-0.93,-1.44,0.33,-1.12,1.15,-0.11,1.92,-0.93,-0.24,-0.61,2
-0.41,-1.32,-0.19,957,15346,-0.3,-0.57,-0.41,3162,-0.8,6441,-0.02,-0.36,-0.07,3.53,-0.05,-0.01,-0.16,-0.03,-0.42,-0.03,0.91,-1.44,0.33,0.9,-0.87,-0.11,-0.52,-0.93,-0.24,1.65,2
-0.26,0.72,0.02,470,3372,-0.61,-0.75,0.34,3402,0.23,23036,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,-0.42,-0.03,0.73,-1.44,-0.56,0.9,-0.87,-0.11,-0.52,1.08,-0.24,-0.61,2
0.47,0.51,-0.33,87,589,-1.01,0.17,-0.03,3402,-0.8,23036,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,-0.42,-0.03,-0.01,0.78,0.33,-1.12,1.15,-0.11,-0.52,1.08,-0.24,-0.61,3
-0.37,0.49,-0.33,11,885,0.05,-0.52,0.34,2341,-0.46,23036,-0.02,-0.36,-0.07,-0.28,-0.05,-0.01,-0.16,-0.03,2.4,-0.03,1.46,1.33,-1.45,-1.12,1.15,-0.11,1.92,-0.93,-0.24,-0.61,2
